Date,NIFTY,GOLD,USDINR,CRUDE
2020-01-02,0.008150579934013252,0.0,-0.0035249462943435983,0.0
2020-01-03,-0.004533048142335533,0.016072149694003442,0.005475994910471391,0.030107706599462162
2020-01-06,-0.01929072847314149,0.010913635018349008,0.004415106215942619,0.003483240083493363
2020-01-07,0.004982160403270252,0.0035692183565126895,0.0007803865244166705,-0.009049830586907184
2020-01-08,-0.0022925703434345888,-0.009203710678121977,0.005182489629449993,-0.05053810433605316
2020-01-09,0.015721524760104574,-0.0036667071971181846,-0.010421357029442638,-0.0008391245978369541
2020-01-10,0.003342455210374022,0.0037308990396736773,-0.003051841475693575,-0.008769035073961774
2020-01-13,0.005917935234497193,-0.00585981619083129,-0.0033950006983115393,-0.016393793756152603
2020-01-14,0.0026526987425187607,-0.003882494785876494,-0.003304826796951357,0.0025792759447617526
2020-01-15,-0.0015381131440847836,0.006269176242541576,0.0017829087296873686,-0.007238883138090941
2020-01-16,0.0009879181499700635,-0.001999275510573253,-0.0017956390500416897,0.012206789124634515
2020-01-17,-0.00025501131760789477,0.006306764371860662,0.003213250063914501,0.00034171292881695064
2020-01-20,-0.01040008785925209,0.0,0.0012550484886146478,0.0
2020-01-21,-0.004484659455009181,-0.0015408479920918832,-5.209218599589111e-05,-0.003422329848017347
2020-01-22,-0.005185979163736476,-0.0007069933514569245,0.0019549790332792985,-0.02780850809264395
2020-01-23,0.0060483951593072694,0.00596170020177131,-0.0012920533874520843,-0.02047612725216664
2020-01-24,0.005559104211847819,0.004145810767128866,0.003411500032276199,-0.025506967474384107
2020-01-27,-0.010608600656474901,0.0036215123910229036,5.605208480999143e-05,-0.019566435389934456
2020-01-28,-0.005228613250633523,-0.004831603586278797,0.0016111164295499953,0.006377814828272337
2020-01-29,0.006094646255253335,0.0003823495785668443,-0.0029382759569507536,-0.002808684727280703
2020-01-30,-0.007754976405079576,0.00868933318130266,0.000976675436389747,-0.02256666214758982
2020-01-31,-0.006142239847635705,-0.000378963863372795,0.004757198450905864,-0.011186192093541391
2020-02-03,-0.02147942474929971,-0.0036075310705902057,-0.002005097684029029,-0.02852560355393241
2020-02-04,0.02294554852001912,-0.017138114161285474,-0.0025543766901806914,-0.010028162535915923
2020-02-05,0.009098978920125088,0.004761622946685296,-0.0030067789504281913,0.022719179305944578
2020-02-06,0.00402853577236436,0.0046751032672821095,0.0011245690212580185,0.003933156721114826
2020-02-07,-0.003267876820959125,0.002233782116915276,0.004065913942397183,-0.012442168315527937
2020-02-10,-0.005540836887552729,0.0038812607041441385,0.0006364520766029804,-0.015016800451462193
2020-02-11,0.0063299538920958175,-0.005795625430667941,-0.003298484351338802,0.007436451476786668
2020-02-12,0.0076761591804553895,0.0011490897071122928,-6.593521396657036e-05,0.024331129680438008
2020-02-13,-0.002178370358219195,0.004900535612764321,0.0002932499240263664,0.004873779194720807
2020-02-14,-0.005039531569823334,0.004813471680398959,-0.0003886281939422311,0.012177614175192553
