Date,NIFTY,GOLD,USDINR,CRUDE,GSEC10Y
2020-01-01,12182.5,1524.5,71.27580261230469,61.18000030517578,
2020-01-02,12282.2001953125,1524.5,71.0250015258789,61.18000030517578,
2020-01-03,12226.650390625,1549.199951171875,71.41500091552734,63.04999923706055,
2020-01-06,11993.0498046875,1566.199951171875,71.73100280761719,63.27000045776367,
2020-01-07,12052.9501953125,1571.800048828125,71.78700256347656,62.70000076293945,
2020-01-08,12025.349609375,1557.4000244140625,72.16000366210938,59.61000061035156,
2020-01-09,12215.900390625,1551.699951171875,71.41190338134766,59.560001373291016,
2020-01-10,12256.7998046875,1557.5,71.19429779052734,59.040000915527344,
2020-01-13,12329.5498046875,1548.4000244140625,70.9530029296875,58.08000183105469,
2020-01-14,12362.2998046875,1542.4000244140625,70.71890258789062,58.22999954223633,
2020-01-15,12343.2998046875,1552.0999755859375,70.84510040283203,57.810001373291016,
2020-01-16,12355.5,1549.0,70.71800231933594,58.52000045776367,
2020-01-17,12352.349609375,1558.800048828125,70.94560241699219,58.540000915527344,
2020-01-20,12224.5498046875,1558.800048828125,71.03469848632812,58.540000915527344,
2020-01-21,12169.849609375,1556.4000244140625,71.03099822998047,58.34000015258789,
2020-01-22,12106.900390625,1555.300048828125,71.16999816894531,56.7400016784668,
2020-01-23,12180.349609375,1564.5999755859375,71.0781021118164,55.59000015258789,
2020-01-24,12248.25,1571.0999755859375,71.32099914550781,54.189998626708984,
2020-01-27,12119.0,1576.800048828125,71.32499694824219,53.13999938964844,
2020-01-28,12055.7998046875,1569.199951171875,71.44000244140625,53.47999954223633,
2020-01-29,12129.5,1569.800048828125,71.23040008544922,53.33000183105469,
2020-01-30,12035.7998046875,1583.5,71.30000305175781,52.13999938964844,
2020-01-31,11962.099609375,1582.9000244140625,71.63999938964844,51.560001373291016,
2020-02-03,11707.900390625,1577.199951171875,71.49649810791016,50.11000061035156,
2020-02-04,11979.650390625,1550.4000244140625,71.31410217285156,49.61000061035156,
2020-02-05,12089.150390625,1557.800048828125,71.0999984741211,50.75,
2020-02-06,12137.9501953125,1565.0999755859375,71.18000030517578,50.95000076293945,
2020-02-07,12098.349609375,1568.5999755859375,71.47000122070312,50.31999969482422,
2020-02-10,12031.5,1574.699951171875,71.5155029296875,49.56999969482422,
2020-02-11,12107.900390625,1565.5999755859375,71.27999877929688,49.939998626708984,
2020-02-12,12201.2001953125,1567.4000244140625,71.27529907226562,51.16999816894531,
2020-02-13,12174.650390625,1575.0999755859375,71.29620361328125,51.41999816894531,
2020-02-14,12113.4501953125,1582.699951171875,71.26850128173828,52.04999923706055,
2020-02-17,12045.7998046875,1582.699951171875,71.51480102539062,52.04999923706055,
2020-02-18,11992.5,1600.0,71.34919738769531,52.04999923706055,
2020-02-19,12125.900390625,1607.5,71.57499694824219,53.290000915527344,
2020-02-20,12080.849609375,1616.5999755859375,71.82749938964844,53.779998779296875,
2020-02-21,12080.849609375,1644.5999755859375,72.11000061035156,53.380001068115234,
2020-02-24,11829.400390625,1672.4000244140625,71.88680267333984,51.43000030517578,
2020-02-25,11797.900390625,1646.9000244140625,72.04669952392578,49.900001525878906,
2020-02-26,11678.5,1640.0,71.87000274658203,48.72999954223633,
2020-02-27,11633.2998046875,1640.0,71.66339874267578,47.09000015258789,
2020-02-28,11201.75,1564.0999755859375,71.93000030517578,44.7599983215332,
2020-03-02,11132.75,1592.300048828125,72.1500015258789,46.75,
2020-03-03,11303.2998046875,1642.0999755859375,72.82499694824219,47.18000030517578,
2020-03-04,11251.0,1641.0999755859375,73.34200286865234,46.779998779296875,
2020-03-05,11269.0,1666.4000244140625,74.0425033569336,45.900001525878906,
2020-03-06,10989.4501953125,1670.800048828125,73.8551025390625,41.279998779296875,
2020-03-09,10451.4501953125,1674.5,73.99530029296875,31.1299991607666,
2020-03-10,10451.4501953125,1659.0999755859375,74.40599822998047,34.36000061035156,
2020-03-11,10458.400390625,1641.4000244140625,74.20500183105469,32.97999954223633,
2020-03-12,9590.150390625,1589.300048828125,74.76000213623047,31.5,
2020-03-13,9955.2001953125,1515.699951171875,75.30000305175781,31.729999542236328,
2020-03-16,9197.400390625,1485.9000244140625,73.90399932861328,28.700000762939453,
2020-03-17,8967.0498046875,1524.9000244140625,75.15499877929688,26.950000762939453,
2020-03-18,8468.7998046875,1477.300048828125,74.01239776611328,20.3700008392334,
2020-03-19,8263.4501953125,1478.5999755859375,74.98200225830078,25.219999313354492,
2020-03-20,8745.4501953125,1484.0,75.15969848632812,22.43000030517578,
2020-03-23,7610.25,1567.0,75.62210083007812,23.360000610351562,
2020-03-24,7801.0498046875,1660.199951171875,76.50599670410156,24.010000228881836,
2020-03-25,8317.849609375,1632.300048828125,77.26000213623047,24.489999771118164,
2020-03-26,8641.4501953125,1650.0999755859375,75.84549713134766,22.600000381469727,
2020-03-27,8660.25,1623.9000244140625,74.72560119628906,21.510000228881836,
2020-03-30,8281.099609375,1622.0,75.46499633789062,20.09000015258789,
2020-03-31,8597.75,1583.4000244140625,75.4000015258789,20.479999542236328,
2020-04-01,8253.7998046875,1578.199951171875,75.32499694824219,20.309999465942383,
2020-04-02,8253.7998046875,1625.699951171875,77.56999969482422,25.31999969482422,
2020-04-03,8083.7998046875,1633.699951171875,77.13999938964844,28.34000015258789,
2020-04-06,8083.7998046875,1677.0,76.2300033569336,26.079999923706055,
2020-04-07,8792.2001953125,1664.800048828125,75.96489715576172,23.6299991607666,
2020-04-08,8748.75,1665.4000244140625,76.66000366210938,25.09000015258789,
